pubnub/chat-engine,codacy,2018-04-24T20:12:09Z,i think that codacy-bot doesn't like that you've only defined the var and never used it. you can do something stupid like ```syncchat.objectify()``` which returns json to resolve this. the proper solution is to create two lint configs. one for tests (where we can disable this) and one for src. where we can keep this enabled.,positive
vvo/selenium-standalone,selenium,2015-04-26T08:37:31Z,binarykitchen if you run the program that's using selenium.start() using xvfb it should work. otherwise reopen,neutral
vvo/selenium-standalone,selenium,2015-04-27T10:24:06Z,as soon as i get time to envolve myself. unfortunately not for the moment.,negative
vvo/selenium-standalone,selenium,2015-04-27T16:18:45Z,programmatically and headlessly. hey there.```xvfb-run --server-args="-screen 0. 1366x768x24" selenium-standalone start```works fantastic on my linux server. however. i'd like to now use the programattic api on my linux server. is there a way to do that?i currently have ```selenium.install({    logger: function (message) {        console.log('log:'. message);    }}. function (err) {    selenium.start(function (err. child) {        selenium.child = child;    });});```but i know i probably need to use `xvfb-run` somehow. i'm just not sure how. any ideas?,negative
vvo/selenium-standalone,selenium,2015-04-27T18:43:10Z,shtirlits. vvo did anyone ever solve this? i'm having the same issue where my local ip is not being proxied even then i passed the proxy arguments via `seleniumargs`. could the chrome driver just be ignoring the arguments and using the machine's ip?,negative
vvo/selenium-standalone,mocha,2015-04-08T20:00:16Z,seems fine. what do you mean by > would like to also wrap unit tests around the getseleniumhub function in check-started.js but need a little help getting my understanding of mocha kickstarted...? programmatic usage seems to be fine. you did not break anything. wonder how we could add a unit test for this.,positive
TypeStrong/ts-loader,mocha,2016-02-26T15:36:27Z,unfortunately i don't personally use any of those technologies (angular. karma. ~~mocha~~ (doh)). i'll leave this open in case anybody else can help and i'll try to take a deeper look at some point but i'm not sure how much help i can be.,negative
oliviertassinari/babel-plugin-transform-react-remove-prop-types,eslint,2016-11-11T21:45:25Z,shouldn't this be a eslint plugin ?. excuse me if i'm completely missing the point here. but. this seems like a bit of an after the fact solution. in one way you could almost says it promotes not cleaning up your code. if your declare a proptype and then don't use it in your compoment. essentially it's an unused param. and it should be highlighted or removed from the code trough eslint.,negative
oliviertassinari/babel-plugin-transform-react-remove-prop-types,eslint,2016-11-11T22:08:39Z,> excuse me if i'm completely missing the point herei think you do miss it  .the point is to have an eslint rule enforcing the use of `proptypes`.you want to do it as `proptypes` are defining a clear api of your isolated component.the thing is this code is only useful in development. it doesn't worth anything in production.and worth. it's costing you bandwidth. parsing and evaluation time.i'm gonna refer to the readme:> ### the problem solved> > remove unnecessary react proptypes from the production build. you can save **bandwidth** by removing them.,negative
oliviertassinari/babel-plugin-transform-react-remove-prop-types,eslint,2016-11-11T22:11:54Z,oliviertassinari but in the example in the readme you show a compoment that does not use the foo proptype ( meaning is essentially an unused prop ). my argument is that you shouldn't have written the foo proptype in the first place ( or remove it ).is this a bad example then ?``` jsxconst baz = () => (  <div />);baz.proptypes = {  foo: react.proptypes.string};```,neutral
oliviertassinari/babel-plugin-transform-react-remove-prop-types,eslint,2016-11-11T22:13:19Z,helmus oh right. it's not a great example!,positive
oliviertassinari/babel-plugin-transform-react-remove-prop-types,eslint,2016-11-11T22:15:22Z,thanks. i have updated the readme.,positive
nathanboktae/mocha-phantomjs,mocha,2016-02-17T22:59:23Z,ok so when you say "you write browser tests in mocha" you would just in your mocha tests work with the dom (window. ect). not the phantomjs page object?  yea i'm probably needing casper or zombie...,neutral
nathanboktae/mocha-phantomjs,mocha,2016-02-17T23:07:29Z,i think it would be very helpful to have more of an intro on your mocha-phantomjs page.  for someone new to this. you just dive into getting it installed and really don't explain the use case for using it or use cases.  i get that it allows you to run mocha tests in the browser. ok fine but then what's the use case around that with tests.  i think it would be helpful to show examples of mocha tests.  the tests that are core to moch-phantomjs lib doesn't work with any dom elements. etc. because it's core code. so having some additional test examples using mocha running in the .html would be nice.  just a suggestion,positive
nathanboktae/mocha-phantomjs,mocha,2016-02-25T12:17:00Z,there is another point i forgot to mention - when i run the tests in browser (using mocha.run) it works fine. the stats on top of the html update fine. the problem appears only with running tests using command line - mochaphantomjs.run()i can safely say that there is no infinite loop. because commenting out any random test seems to get it working.also. the ci system killing is not a problem because i get the same problem when running it from command line.i will be looking to possibly debug this. any pointers in that direction will be very helpful.thanks!,positive
nathanboktae/mocha-phantomjs,mocha,2016-02-29T03:19:26Z,edit package.json nocha -> mocha. fixing a minor typo in the package.json description.,neutral
nathanboktae/mocha-phantomjs,mocha,2016-03-01T07:45:53Z,yes it is.,neutral
firebase/emberfire,mocha,2015-02-27T16:18:59Z,we now use `ember-cli-mocha`,neutral
typicode/husky,standard,2017-09-05T16:29:34Z,i think pr must be closed :) just realized that `scope feature` is usable only for pre-commit case and can be implemented much more simpler way:```    // package.json    ...    "precommit": "npm run -s is_changed && lint-staged || true".    "is_changed": "[ $((git diff head --name-only; git ls-files -o --exclude-standard --modified) | grep '^src' | wc -l) -ne 0 ]".    ...```,neutral
nteract/nteract,mocha,2016-09-05T05:25:41Z,not quite. i ended up resorting to switching to electron-mocha which breaks coverage reporting.,neutral
andyearnshaw/Intl.js,sauce,2014-09-05T22:56:14Z,travis is failing due to saucelab for what i can tell. need a hand on that!,negative
andyearnshaw/Intl.js,sauce,2014-09-05T22:58:31Z,> travis is failing due to saucelab for what i can tell. need a hand on that!saucelabs + travis doesn't work on prs because of the credential issues.,negative
hoodiehq/hoodie,sauce,2014-07-02T14:43:02Z,i believe that's an internal error. will check logs at saucelabs.,negative
cucumber/cucumber-js,jasmine,2013-09-06T20:27:05Z,thank you for this pr. we definitely need to be able to attach listeners from inside support code and probably hooks as well. however. i'm not convinced we should expose the runtime instance to the end users; this is internal stuff. what about exposing another method on the support code helper (i.e. the object holding definestep(). given(). world. etc.)? ```this.registerlistener(mylistener);this.before(...```it would be more consistent with the rest of the api. imo.  wdyt?,negative
cucumber/cucumber-js,jasmine,2013-09-06T22:55:51Z,thanks for your feedback.  i understand your argument for appropriately restricting the api.  if i understand your suggestion. support code with this.registerlistener(mylistener) would have a listener registered.  as a user would i add this to a step definition?it may be a bit odd if users commingle their registerlistener functionality with step definitions.  cucumber-js may want to encourage the use of a common.js. listeners.js. or similar pattern.  and if i understand the world constructor correctly (that the last this.world assignment wins) it may be useful to put the world constructor there as well.i'd also like to add a list of event name strings to listeners.event (e.g. listeners.event.beforescenerio = 'beforescenerio') to assist in code completion and prevent typo frustration.let me know what you think.  i'm ready to move forward w/ the discussed code changes.,positive
vector-im/riot-web,standard,2017-03-21T17:22:44Z,check for updates feature for electron app. would be nice if the app automatically checked for updates and had the standard menu item option for checking for updates so users don't have to follow the project on github or twitter to know when new releases are available.,positive
vector-im/riot-web,standard,2017-03-22T14:26:24Z,i thought it diddbkr ?,neutral
vector-im/riot-web,standard,2017-03-22T18:11:03Z,triaged as a: - bug (because it's a bug if as suspected this is an established feature that's not working) - p2 (because not picking up changes is something we should definitely fix soon if it's really happening) - major (because the whole 'feature' of detecting updates is broken. even if the desktop riot is still quite usable despite the failure)from the conversation above it _sounds_ like maybe everything's fine. but waiting on dbkr to verify that this is a feature that should exist before then spending any time checking if there's been a regression.,negative
vector-im/riot-web,standard,2017-04-06T13:09:18Z,how necessary will this be once rte is standard?,neutral
appium/appium,selenium,2014-12-15T14:32:48Z,hi paymand thanks for the suggestion – just tried. i believe that the method is setvalue in java. but it's giving me an error that the method is not yet implemented...i'm casting the webelement to a mobileelement which apparently is necessary. jlipps can you assist? i'm not really a selenium expert. apologies if it's a dumb question with an obvious answer.i should mention though that i'm using a real android device. if that makes a difference...,negative
appium/appium,selenium,2014-12-17T16:13:27Z,hi jlipps . i just got the same error on our system.we are running with selenium grid.could you guide me what information do you need on triaging the problem?thanks!,neutral
appium/appium,selenium,2015-01-05T05:59:25Z,javascriptexecutor not working for android application testing (appium). hi .i'm working on testing an android app.i can't find any important parameters to find elements.it contains only class name and index .i tried xpath also but wasn't work so i'm trying it to execute it from javascriptexecutor...code is..```if (appiumdriver instanceof javascriptexecutor) {    js = (javascriptexecutor)appiumdriver;     system.out.println("instance found");}js.executescript("var list = document.getelementsbyclassname(\"android.view.view\");         list[5].click(); ");```when i run this code an error occurred said .error message: org.openqa.selenium.webdriverexception: not yet implemented. please help us:  (warning: the server did not provide any stack trace information)i google it but some blogs said i can't use js in appium(android),negative
appium/appium,selenium,2015-01-07T08:50:44Z,you can simply do this by using the following command driver.navigate().back();,neutral
appium/appium,selenium,2015-01-07T09:08:17Z,failed searching element on android by id. hii am trying to use the findelementbyid or findelementbyandroiduiautomator methods of appiumdriver while searching for an element with it's given id taken from ui automator viewer. the field id is taken from resource-id selector but it keep failingis there a way to search by this selector? is it possible to search by id as in the regular  web driver of selenium ?,neutral
appium/appium,selenium,2015-01-09T21:03:12Z,get the ipad safari browser cookies in java/js. hi.can anyone let me know how i can get the ipad safari browser cookies when running the selenium tests in ipad using appium safari launcher and ios-webkit-debug-proxy. i'm running the tests on ipad using intellij on mac.thank you.srujan.,neutral
appium/appium,mocha,2014-12-26T00:05:53Z,hi. guys!it took long time as i needed to wait for next release of opera for android.now the 'opera' device can be tested with tests for 'chrome' device with the following command:device=android browser_name=opera mocha test/functional/android/chromejlipps would you find some time to review this? :),neutral
brunch/brunch,eslint,2016-07-30T07:49:04Z,fix eslint errors (tests). our lint tests weren't passing.this lines of code had the wrong indentation.,negative
brunch/brunch,eslint,2016-07-30T16:05:04Z,shvaikalesh   i've removed the extra braces,neutral
brunch/brunch,eslint,2016-07-30T19:46:01Z,awesome! herenow. thanks for the contribution.,positive
agda/agda-stdlib,standard,2018-07-25T07:50:44Z,wasn't there something about not using the `fromnat` class in the standard library? i can't find any existing instances of `fromnat` anywhere in the current standard library. so while adding one is tempting. i think it might not be taken well?,negative
agda/agda-stdlib,standard,2018-07-25T13:11:24Z,gallais so. including something like the following. with the appropriate imports?```agdalevelnat : number levellevelnat .number.constraint _ = ⊤levelnat .number.fromnat    n = # n```andreasabel i vaguely remember you being opposed to using `agda.builtin.fromnat` in the standard library. could you let me know if and if so why this is the case?,negative
agda/agda-stdlib,standard,2018-07-25T13:36:30Z,you can import the "instance" and then assign it to a proper instance yourself. i.e.```agdaimport level.literalsinstance levelnat = level.literals.levelnat```as far as i know. this is the recommended practice. if you search the standard library. then you will not find a single instance declaration anywhere.,neutral
agda/agda-stdlib,standard,2018-07-25T19:12:25Z,> you can import the "instance" and then assign it to a proper instance yourself>....> as far as i know. this is the recommended practice. if you search the standard library. then you will not find a single instance declaration anywhere.this is indeed the current policy (see #33).  it might well be a throwback to the when the instance feature wasn't well developed. however i've encouraged it on the grounds that the standard library tries to keep proofs as explicit as possible. the overhead of `instance levelnat = level.literals.levelnat` probably isn't that great. and at least warns the reader that there is some instance magic about to happen...,positive
agda/agda-stdlib,standard,2018-07-28T12:59:10Z,after merging. i've renamed `levelnat` to `levelℕ` as i've just remembered we don't tend to use `nat` much in the standard library.,negative
agda/agda-stdlib,standard,2018-08-05T08:30:02Z,in my mind `coinduction` corresponded to `codata.thunk`. but it's true that there is also thedefinition of `rec` in there. not sure if it's worth having tbh: it's not standard to encode datatypesas a coinductive definition by enabling `--guardedness-preserving-type-constructors`.and there does not seem to be any results available. just the raw definition.,neutral
ExactTarget/fuelux,sauce,2014-04-25T18:57:55Z,travis sauce badges. making status badges work for sauce and travisci in readme.md,neutral
alphagov/govuk_elements,standard,2017-03-28T14:58:38Z,accessiblewebuk sorry - missed it. so that sounds like something we could consider recommending? 19px bold or 24px standard at minimum,negative
simov/grant,coveralls,2015-08-24T13:47:43Z,added some tests to comfort coveralls.,positive
jshint/jshint,jshint,2013-08-19T09:32:51Z,i don't know is this can ever happen. as the "bad or evil" licence is the original software licence for jslint.,negative
jshint/jshint,jshint,2013-08-19T14:57:50Z,interesting.. adding `/* jshint unused:true */` at the top of the file makes the problem go away. same if i put that setting in .jshintrc. docs say that unsued: true is default. so it feels wrong somehow.,negative
jshint/jshint,jshint,2013-08-22T09:47:18Z,i'd also like to be able to disable the check for trailing unused function arguments.,neutral
jshint/jshint,jshint,2013-08-22T20:53:26Z,this isn't possible without removing all crockford code from jshint. it can definitely happen though.,neutral
jshint/jshint,jshint,2013-08-22T21:00:43Z,i need input from someone who understands legal. (i don't),neutral
jshint/jshint,jshint,2013-08-22T21:02:04Z,i'm pretty sure goatslacker is correct. you could ask crockford to change his license :),positive
jshint/jshint,jshint,2013-08-22T21:05:00Z,goatslacker where can i find a reference to all the code written by crockford part of this repository?,neutral
jshint/jshint,jshint,2013-08-22T21:05:50Z,hellais you can run a diff against the first commit to jshint (which would have been where the fork started). to the current head,neutral
jshint/jshint,jshint,2013-08-22T21:28:58Z,antonkovalyov i think a regular diff will not work either because the code structure has drastically changed. i am looking into a possible way of determining which portions of the code are from the original author.exploring possibilities such as simian or checkstyle,neutral
jshint/jshint,jshint,2013-08-22T22:19:08Z,btw those are 195 lines of code in a project that has over 9000 lines of code.,neutral
jshint/jshint,jshint,2013-08-22T22:19:59Z,i may have no idea what's going on here. but i can't imagine that jshint rewrote 8800 lines of jslint,negative
jshint/jshint,jshint,2013-08-22T22:31:28Z,i re-ran simian with a threshold of 2 (this means blocks of fewer similar lines will also be displayed) and i got 708 duplicate lines.dcramer what would you suggest doing regarding refactoring out crockford's code from jshint or getting the license changed?,negative
jshint/jshint,jshint,2013-08-22T23:25:38Z,hellais i'd suggest talking to a lawyer as i think anything else is likely to be pointing a gun squarely at some feet.,neutral
jshint/jshint,jshint,2013-08-23T00:01:20Z,the easy answer to this is that we would need to move away from the pratt parser to esprima.,neutral
jshint/jshint,jshint,2013-08-23T10:04:25Z,douglascrockford why not put that last bit in license instead; "...this software may not be used in the investigation. torture. and murder of patriots who dare to resist tyrants." <- from a shared  form me!,negative
jshint/jshint,jshint,2013-08-23T17:38:28Z,douglascrockford have you actually ever tried suing somebody that has used your software for evil?i bet the nsa uses jshint for their javascript projects and i think they are doing quite an amount of evil. it seems like your license has not been very effective at stopping them from doing so though...,positive
jshint/jshint,jshint,2013-08-23T18:57:01Z,soxofaan what you said is correct. but i think you missed what orangedog was talking about. yes the jshint output is correct with the options and switches but the checkstyle reporter is not. in orangedog example he (and i for that matter) believe that the error in the xml output should not be there as he has not used the --show-non-errors option. it seems it should either not be present or be something other than a warning. maybe info?,neutral
jshint/jshint,jshint,2013-08-23T19:10:57Z,>  the easy answer to this is that we would need to move away from the pratt parser to esprima.at this point jshint covers more javascript (stable parts of es6. mozilla-specific extensions) and is more fail tolerant than esprima so the switch isn't going to happen in near future.> i bet the nsa uses jshint for their javascript projects:-),negative
jshint/jshint,jshint,2013-08-23T19:13:33Z,hellais did you read his link?>  it is not effective at all. but it at least states my intention.haha,neutral
jshint/jshint,jshint,2013-08-23T19:21:15Z,anyway. i sent an email to douglascrockford asking for an explicit permission to remove that clause from jshint. if he grants one. i'll remove it. if he doesn't. debian people will have to install jshint through npm or do some other workaround.to be honest. i'm getting tired of these not-true-open-source talks. out of all things i need to do with jshint this issue is probably the least important one.,negative
jshint/jshint,jshint,2013-08-26T09:12:37Z,that maybe indeed nice to have less messages for consecutive same errors. but that would mean adding code only for handling such a case. though. the goal of a static code analyzer being to spot out every mistake an user could do. so when integrated into an editor each semicolon shall be focused. i don't think jshint shall do such factorization of errors. in my opinion. that something that could be done in the reporter or simply by parsing the output.in the end i'd vote for closing this issue.,negative
jshint/jshint,jshint,2013-08-26T11:55:59Z,anton. there are other ways to work around this that will allow debian to carry a package containing jshint and without creating extra effort for you.  other developers may also volunteer to help do this work for your project.as an example. if you wanted to. you could request a google summer of code (gsoc0 student in 2014 and the student could refactor this code in a clean way.  debian and other big projects have plenty of experience with schemes like gsoc and as your project is good for all our other javascript you would have a very credible case for this.the first thing that needs to be cleared up is how much code really is common between jshint and jslint?  for example. when you did refactoring. did you copy and paste whole chunks of code from jslint into other source files?  or were the other source files developed independently without using cut-and-paste?  if you did use the cut-and-paste approach. then you need to include the douglascrockford "no evil" terms in the license text of all those other files too and they will all need to credit him as a contributor.if it is only jshint.js. then it may be possible for other people to re-write sections of the file.  as a bare minimum. you may want to avoid making any more changes to that file and do any new code in a separate file. so the new code won't be tainted by the "no evil" clause and it will be easier for some volunteer working on it in future as there will be less "no evil" code for them to refactor.the bottom line is that douglascrockford has to decide whether it is genuinely important to him to have his work recognised and have projects like debian and jshint propagate his well-founded concerns about coding style.  the alternative is that people simply act as if his project doesn't exist and eventually something will emerge to replace it entirely and his ideas fade away (it has certainly happened to bigger projects. just think about how quickly wordperfect or lotus 123 disappeared),neutral
jshint/jshint,jshint,2013-08-26T17:24:39Z,i second this. i switched to jshint specifically because i refused to rewrite 876 .js files when jslint made onevar mandatory.until es6 is available for production use. we need something as a stop gap,negative
jshint/jshint,jshint,2013-08-28T08:17:00Z,i'm assuming he defines this options inside the gruntfile which is a javascript file.also for valid json he would need to quote the string jshint and options. i just spotted the real error:```'-w038': true;```the semicolon at this point is not allowed. this is a syntax error.,negative
jshint/jshint,jshint,2013-08-28T19:30:22Z,this would solve the #1 complaint about jshint-enforcement on the enyo js team.,neutral
jshint/jshint,jshint,2013-09-04T06:32:21Z,if you have a single json file with an extension of `.json` i completely agree with you that you should have double quotes. i don't think jshint claims to be a json validator or something similar.> jshint is a tool that helps to detect errors and potential problems in your javascript code.in javascript it is perfectly valid to use single quotes. as of this i think jshint handles this as expected.,negative
jshint/jshint,jshint,2013-09-04T10:02:55Z,:+1: would be great to see this feature make its way in. it's the one thing jshint keeps bugging me about that i won't "fix" ;),positive
jshint/jshint,jshint,2013-09-06T23:51:22Z,btw use a `.jshintignore` file,neutral
jshint/jshint,jshint,2013-09-10T22:59:24Z,thanks for the reply. it was very helpful!  i wonder if antonkovalyov has made any progress with the style module which was hinted at in that request?  is this src/style.js. or something entirely separate?  if the 'module' in question is src/style.js.  i would be more than willing to add this option once i get to know jshint and the expectations of the project a bit better.,positive
jshint/jshint,jshint,2013-09-12T12:41:17Z,bug?. hi.when testing the jshint.com homepage. the following code triggers a console error```for(;0);a++ ```the error in the console is:uncaught typeerror: cannot read property 'identifier' of undefined,negative
jshint/jshint,jshint,2013-09-12T14:17:40Z,this would be very useful for a project i worked on where the customer facing app and admin facing app ended up sharing a .jshint file but used a different list of globals.,neutral
riot/riot,sauce,2015-12-11T07:39:56Z,no it's just saucelabs that sucks!,negative
angular/angular.js,sauce,2014-02-03T09:16:34Z,for the benefit of others: we are working with travis/saucelabs/browser stack to solve this problem once and for all... fingers crossed.,neutral
angular/angular.js,karma,2013-11-27T20:33:28Z,added a new npm command to e2e karma execution. i got an error message on running karma e2e test. after the new npm run it worked. platform win7x64,neutral
angular/angular.js,karma,2013-11-27T21:08:06Z,actually all the dependencies are in the `package.json` so we really ought to be able to simply run```npm install```,neutral
angular/angular.js,karma,2013-11-27T21:12:21Z,ok. i actually run it also but i got rid of the error message only when i installed karma-junit-reporter.,negative
angular/angular.js,karma,2013-12-05T22:10:19Z,i have updated steps 2 and 3 to remind people to run `npm install`. this should ensure the relevant karma plugins are available. see 39c5ffb and 2adbcf1,neutral
angular/angular.js,karma,2013-12-09T20:38:45Z,while karma does globally install with a bunch of plugins. we do need the `npm install` because without that you don't get the `karma-ng-scenario` karma plugin.,neutral
dc-js/dc.js,jasmine,2014-07-07T06:50:21Z,hi mtraynham. i am finally merging this.  thanks!i figured you probably wouldn't mind me snagging parts of your fiddle for the jasmine spec.  if you have a minute. could you double check the test in 9c682c9?  it definitely fails before your patch and succeeds after. but it fails differently from your fiddle: whereas your fiddle usually shows little stubs of wrong values. this just gets a straight zero wrong value.,positive
dadi/web,standard,2017-05-02T08:41:57Z,josephdenne are there any particular engines you'd like us to start with?what i've done so far is fully decouple dust from the core and turn it into its own module interface. similar to what jimlambie has been doing for api data stores. this interface consists of a set of standardised lifecycle functions that core will expect engines to implement (and will validate against).we can start taking this interface and building support for the various engines we want to ship with. but it also allows the community to build their own interfaces to add support for additional engines. this would happen in the same way they can currently install custom dust helpers and filters. which effectively needs you could use virtually any templating engine with web without having to touch the core.any thoughts appreciated!,positive
istanbuljs/istanbuljs,istanbul,2017-10-16T06:15:33Z,feat: work around supporting .mjs files. starting to do some work in nyc/istanbul related to supporting es modules and the `.mjs` extension.,neutral
istanbuljs/istanbuljs,istanbul,2017-10-19T00:40:19Z,fwiw "treshold" appears nowhere in the istanbuljs source.```(20:40:01) jamies-mbp:/tmp/istanbuljs $ grep -r treshold . | wc -l       0```,neutral
DefinitelyTyped/DefinitelyTyped,standard,2016-11-09T20:25:02Z,_flux-standard-action/index.d.ts_to author (tkqubo). could you review this pr?:+1: or :-1:?checklist- [ ] pass the travis ci test?,neutral
DefinitelyTyped/DefinitelyTyped,standard,2016-11-10T12:34:27Z,seansfkelley i've been spending the past few days trying to tackle this issue. but i'm running into a couple of major roadblocks (correct me if i'm wrong on something):from what i've gathered. `connect` doesn't really function as a true class decorator (by typescript's standards) and isn't usable in its current form. the wrapped result of the connect call doesn't actually extend the targeted class. it uses its own type definition. typescript views decorated classes under the assumption that the resulting class will pass a `typeof` check on the target. this just simply isn't true with what react-redux is doing.the connect class returned is an entirely new class that wraps the targeted class. with its own unique set of props. this is the main block here is because the props that the connect class says are allowed are different than those that the class it's wrapping are. this is what causes the `types of property 'props' are incompatible.` message when using it as a decorator. typescript can't verify that the connect class is indeed a `typeof` the wrapped class because this offending property.to work around this. we can make the type declarations for props less strict. i am currently aware of two. the first is to say``` typescriptinterface stateprops {  mystate: mystate}interface dispatchprops { ... }interface ownprops { ... }connect<stateprops. dispatchprops. ownprops>(.... ...)export class mycomponent extends component<any. componentstate> { ... }```saying that any props are assignable on the component. this has the disadvantage that ts can't vaildate anything pertaining to props. the other (and i think better) way is to make every property in `stateprops` and `dispatchprops` optional:``` typescriptinterface stateprops {  mystate?: mystate}interface dispatchprops { ... }interface ownprops { ... }connect<stateprops. dispatchprops. ownprops>(.... ...)export class mycomponent extends component<ownprops & stateprops & dispatchprops. componentstate> { ... }```this way everything checks out. but ts can still complain if props in `ownprops` are omitted in jsx.,negative
DefinitelyTyped/DefinitelyTyped,standard,2016-11-10T15:35:36Z,thanks for pointing me to those. glad i'm not going crazy. is there any point in messing with this further until we have mapped types then?,negative
DefinitelyTyped/DefinitelyTyped,standard,2016-11-10T21:22:47Z,in agreement. the "extend" method is also a public method (private in the typescript definition).,neutral
DefinitelyTyped/DefinitelyTyped,standard,2016-11-15T04:33:57Z,yuit as the config documentation say about this method:if no directory is given. reads the standard config directory and parses node_config. so the configdir param is optional. and if there is no param take the 'rootpath/config' path by default.,negative
DefinitelyTyped/DefinitelyTyped,standard,2016-11-15T14:12:06Z,core-js: split into standard and non-standard definitions. - [x] i want to talk about `core-js/core-js.d.ts`.  - the authors of that type definition are rbucktoni use the "shim only" part of core-js. unfortunately some non-standard part of the the full definitions conflict with some other definitions i have. and in general i'd prefer only to have definitions for the parts i use.wouldn't it make sense to split the definitions into standard and non-standard. so that one can chose what he wants without getting conflicts (e.g. es5 target with default core-js => both standard and non-standard definitions. es5 with shim-only => only standard definitions. es6 with core-js => only non-standard definitions as ts will already include the compiler-provided es6 definitions).,negative
DefinitelyTyped/DefinitelyTyped,standard,2016-11-29T04:31:35Z,i haven't figured out a good way to handle these differences. the problem obviously comes down to the fact that isomorphic-fetch is really two different fetches. with different implementations and standards compliance.there are at least two ways to build a typings file for this situation. one option is to go with the common subset approach. which would remove all expected fetch typing information that was not in node-fetch. this would present problems for people who want to make full use of fetch in the browser. of course. a second option is to include everything in the browser-based fetch and rely on the developer to know what environment they're running in. and to know what is and isn't supported in node-fetch. this can lead to build or runtime errors. the second approach is what the current typings use. as you've pointed out. if it were possible to split out the browser-fetch superset. modulo the common subset. i think that would be very useful. i'm not sure how best to do that in a way that supports common environments and tools. if you have some ideas. i'd be interested in hearing them. thanks.,positive
angular-ui/ui-mask,sauce,2016-05-04T07:52:59Z,lukepfeiffer10 today i'll do. there was 4 days holidays in russia :d by the way. i have a problem with running gulpfile. sauce is running with error```$ gulp buildmodule.js:338    throw err;    ^error: cannot find module 'sauce-connect-launcher'```no idea what to do,negative
angular-ui/ui-mask,sauce,2016-05-04T14:36:48Z,i'm not sure how to actually fix your issue but you shouldn't need `sauce-connect-launcher` to run the tests locally so i would just comment it out locally for now to get your tests running and then maybe figure out the module issue later.,neutral
