ashiina/lambda-local,mocha,2016-04-09T12:34:17Z,added lambda properties. refactored. wrote mocha test,neutral
agda/agda-stdlib,standard,2017-07-31T15:24:35Z,> no. it's not the case. let s be a finite set. and f: s -> s a function. then the following are equivalent: f is injective; f is surjective; f is bijective.ah yes. my fault. not quite sure why i'd forgotten we were finite! thank you for your explanation. i have to confess when i read it the first time i completely misunderstood what your code was trying to do. now that i'm more on-board. i'm afraid i don't think that the code is generally applicable enough for the standard library. nothing to do with the code quality or its usefulness in certain situations! it's just that we try and keep the number of data types in the standard library to a minimum. and `inj` is really just a special case of `fin n → fin m`. albeit one where the induction principle is easy to access.once again. apologies for the numerous misunderstandings on my part. however if you have functions along the lines of `thin` and `thick` (which were missing until recently) that you think are both widely applicable and missing from the standard library please do feel free to contribute them. i promise you'll get a quicker response!,negative
agda/agda-stdlib,standard,2017-08-02T06:34:34Z,it sounds like maybe we should relax the requirements of `--safe` to accept postulates of type `set`.,positive
agda/agda-stdlib,standard,2017-08-03T11:28:17Z,just had a look at the branch. what's the plan for maintaining this? is every safe change to the non-safe part going to have to be copied over to the safe part manually?or is there some way of regenerating the safe part automatically?,positive
agda/agda-stdlib,standard,2017-08-03T12:01:56Z,> however it is now going to require browsing both safe.data.nat.divisibility and data.nat.divisibility which are deep in different parts of the heirarchy. what's more you can't off-hand predict which one it's going to belong to.the doc for the unsafe module systematically links to the safe one because it imports it.> can users who are concerned about safety not just type-check it on the command line using the --safe option?`--safe` only succeeds if all of the definitions in a module (and all the module it depends upon) are safe. hence the need for a split: it is currently near impossible to typecheck a development relying on the standard library with the `--safe` option. i'm actually surprised that after 100+ articles using agda published. no reviewer seems to have complained about this.,positive
agda/agda-stdlib,standard,2017-08-03T12:25:51Z,> but then you'd have to call agda --safe on every single module attached to a paper to make sure the whole development is not using any dirty tricksaren't you going to have to do that anyway? even if you've only used modules from the `safe` hierarchy in the standard library. you still need to check that your own modules don't use any dirty tricks.,negative
agda/agda-stdlib,standard,2017-08-03T12:38:22Z,oh okay. that makes sense. thank you for your patience and taking the time to explain it to me! i have experience with exactly one agda development and that's my own so i'm not fully versed in all the tricks...okay then perhaps there should be a `--safe-narrow` and `--safe-broad` option to cover both options. it just seems weird that a module that only uses safe definitions should be labelled as unsafe just because some of its dependencies happen to share a file with unsafe definitions. in fact the same thing should probably apply to other options like `--without-k`.,negative
agda/agda-stdlib,standard,2017-08-03T12:48:40Z,> okay then perhaps there should be a --safe-narrow and --safe-broad option to cover both optionswon't the problem still be the same? you'll want `--safe-narrow` on all of the modules corresponding to a paper (all of the theorems have to be valid) but if it relies on the standard library. you'll need that constraint to magically change to `--safe-broad` whenever definitions rely upon that dependency.,neutral
agda/agda-stdlib,standard,2017-08-07T10:54:42Z,> whereas what it should ideally do is only check the definitions in other modules that are actually used. from my position of complete ignorance. this seems like it should be doable using some sort of flow analysis. i'm not sure if it is or not! if it is possible. wouldn't this be a far better solution than partitioning the standard library in two?maybe it would make sense if agda internally marks definitions that *could* have been checked with `--safe` as such. even if the flag is not enabled. that way. when importing a file without --safe. agda can check for the definitions you actually use whether they are safe. although this would probably require quite some refactoring of the other flags that are excluded by `--safe`.,negative
agda/agda-stdlib,standard,2017-08-15T10:12:07Z,`integer.properties.-≡-decsetoid`. `integer` has not standard equalities other than `≡`.so. why changing from `decsetoid` to `≡-decsetoid`?,neutral
agda/agda-stdlib,standard,2017-08-15T10:31:25Z,the aim is to keep naming conventions consistent across all data types. for other data there may be non-propositional equivalences available. we don't want users to have to guess the name.,neutral
agda/agda-stdlib,standard,2017-08-16T10:21:07Z,answered question so closing.,neutral
QubitProducts/cherrytree,sauce,2015-04-13T18:54:32Z,done,neutral
babel/babel,mocha,2015-05-16T00:08:15Z,well. i tested dozens of times. it never worked and just after your response. it works!you are a shaman :)at the beginning. i was trying with:```mocha --compilers js:babel/register```and sure this syntax doesn't work.thank you.,positive
babel/babel,codecov,2016-08-10T22:02:13Z,i would never discover codecov.io but for this joke! thank you guys. keep the world funny!,positive
angular/angular-seed,karma,2013-10-25T17:58:45Z,the minerr function is defined in angular.js though for some reason angular-loader is not picking it up. while the workaround outlined above works. it would be educational to find out why it breaks in karma. the karma configuration includes angular.js first so one would think angular-loader would pick it up.,neutral
jshint/jshint,jshint,2012-08-19T21:01:17Z,you're right concerning the case where somevariable is 0 and given that case. i'm going to admit it is pain to write the condition in other ways without seperate null and undefined checks. too bad jshint codebase is quite hard to follow. otherwise i'd have taken a stab at it.if you really want to get rid of that error while holding on to the comparison. !(true && somevariable > 0) should do the trick. it'll also cry for an explaining comment which isn't a bad thing.what comes to smart way of using it. my stance on the issue is this: if you're in a situation where valid values for your variables include numbers. null and undefined you're already close to losing it and you should either solve that issue or be very clear of where you're at with your variables. in which case such use of unary negation is indeed confusing.,neutral
jshint/jshint,jshint,2012-08-24T18:25:10Z,yeah. 'use strict' thinks you want `newcap`. that code passes with `/*jshint newcap: false */`,negative
jshint/jshint,jshint,2012-08-28T15:31:21Z,`eqeqeq` when its on requires strict comparisons everywhere. when its off it doesn't require strict comparisons _everywhere_ but it still requires it in cases where type coercion can lead to problems. jshint is not simply a parser it is a linter.,negative
jshint/jshint,jshint,2012-08-28T16:06:55Z,thanks for the clarification.maybe you can update the documentation to make this point more clear. the note reads like the only always checked unsafe comparisons are comparisons to`null`. which can be deactived with `eqnull`,positive
jshint/jshint,jshint,2012-08-28T17:03:27Z,the code i wrote for you is an isolated example of a problem we found in a much larger project. i'd rather not disable the warning because it's good practice to avoid creating functions in loops.my real question is about the conditions under which jshint raises the warning. perhaps it's too generic. i don't _think_ there's anything wrong with the above code. so why should jshint warn me about it?,negative
jshint/jshint,jshint,2012-08-29T21:54:09Z,you should use `laxbreak`. default behavior is (historically) what crockford recommended.,neutral
jshint/jshint,jshint,2012-08-30T21:42:59Z,stupenrose no offence. but how can you claim that jshint-mojo is much faster than wro4j as long as both uses rhino?,neutral
jshint/jshint,jshint,2012-08-30T22:16:59Z,i say it is faster because we have run both plugins on our code.  when running them side by side. our new plugin was faster.  not being familiar with the wro4j code. i can't say exactly why. but i'm assuming it is a consequence of our plugin being built from the ground-up to do just one thing: run files through jshint.  put another way. it looks like wro4j is built to solve a much broader range of problems.,negative
jshint/jshint,jshint,2012-09-09T03:08:56Z,`/*jshint newcap: false*/` ?,neutral
jshint/jshint,jshint,2012-09-09T03:09:55Z,if you submit a patch i'll merge it in. this isn't something we're actively working on though and something i believe should be available in jshint.next,neutral
jshint/jshint,jshint,2012-09-09T04:59:07Z,fyi/*jshint: validthis: true */ in that function will suppress this warning.,positive
jshint/jshint,jshint,2012-09-09T20:40:28Z,yes (i tested it) - it fucks up... fuck!but `window["undefined"] = ...` fucks up. too. and does not give a warning/error in jshint.,negative
jshint/jshint,jshint,2012-09-09T20:55:35Z,only properties' names in dot notation are checked by jshint. jslint does the same.and i still do not understand why 'undefined' is bad name for property =(,negative
jshint/jshint,jshint,2012-09-11T07:22:43Z,jshint's killer feature is the opt-out. as opposed to crockford-ed-in.,negative
jshint/jshint,jshint,2012-09-12T11:38:56Z,maxparams fails on parameterless functions. the new maxparams option fails when a function has zero parameter.example:```% cat test.js/*jshint maxparams:3 */function a(){}% jshint test.jstest.js: line 1. col 13. cannot read property 'length' of undefined1 error```if you add some parameters to the function definition. it works as expected.,negative
jshint/jshint,jshint,2012-09-13T19:11:11Z,jshint does not read the unused option in the middle of code/inside a function.thats why i opened this issue.,neutral
jshint/jshint,jshint,2012-09-16T01:24:26Z,in next jshint. yes -- we already have it. not here though,neutral
jshint/jshint,jshint,2012-09-16T01:44:21Z,pull request was reverted.,neutral
jshint/jshint,jshint,2012-09-16T02:43:19Z,sorry. i don't think this is worth adding a new option to the current tree. reason is that in jshint-next this option will become irrelevant but we will still have to support it forever for backwards compatibility.,negative
jshint/jshint,jshint,2012-09-16T08:31:19Z,ah.. sorry i didn't realize that jshint has unit tests (jslint doesn't). should have double check that.it'll be good idea to cover pull requests with travis ci. such erroneous pulls we'll be picked instantly then.anyway thanks for fixing that!,positive
angular/angular.js,jasmine,2013-10-19T17:22:49Z,```running "jasmine_node" taskwarning: cannot find module 'mkdirp' use --force to continue.aborted due to warnings.    >>     warning: task "parallel:travis" failed. use --force to continue.aborted due to warnings.```did i break this?,negative
angular/angular.js,jasmine,2013-10-24T14:21:41Z,grunt-contrib-jasmine-node doesn't exist. build fails as grunt-contrib-jasmine-node is not a valid package. pr to arrive shortly,negative
angular/angular.js,jasmine,2013-10-24T14:24:20Z,fix: grunt-contrib-jasmine-node non-existant. rename package grunt-contrib-jasmine-node to grunt-contrib-jasmine. as the former does not existcloses #4626,neutral
angular/angular.js,jasmine,2013-10-24T14:26:31Z,just signed as matthew jewell,neutral
angular/angular.js,jasmine,2013-10-24T19:28:24Z,this is already on master.,neutral
angular/angular.js,jasmine,2013-10-25T20:22:20Z,fixed in master,neutral
angular/angular.js,standard,2015-06-16T10:09:56Z,with the trick from far-out and vivex. does exist a way to make coexist the two behaviors? i need to send json as default and standard www-form-urlencoded sometimes.,negative
istanbuljs/istanbuljs,istanbul,2016-10-30T01:41:25Z,jedwards1211 mind giving the `next` release of `nyc` a spin. to make sure this is still an issue:`npm cache clear; npm i nycnext`we just landed a few patches stability patches to istanbul-reports.,negative
istanbuljs/istanbuljs,istanbul,2016-10-30T23:47:30Z,bcoe. i just tested. i can still reproduce.  should i move this to `istanbul-reports`?  i'll see if i can code up a minimum repro case.,negative
istanbuljs/istanbuljs,istanbul,2016-10-31T05:11:07Z,jedwards1211  yes. would love a reproduction in `istanbul-reports`. we can get this patched asap.,positive
istanbuljs/istanbuljs,istanbul,2016-11-09T06:44:59Z,bcoe sorry for the delay. i finally managed to put together a minimum repro!  filing in `istanbul-reports` now.,negative
DefinitelyTyped/DefinitelyTyped,standard,2015-11-17T12:23:32Z,making `store.getstate` generic looks like a good idea. but as for `action` interface. i don't know this kind of strict typing is appropriate here.   as arusakov says. fsa is just one of a major implementations of action.in that sense. fsa-flavored `dispatch`. `store`. and the like can be put into other `.d.ts` files (e.g. in the `flux-standard-action` itself?)  this can be also applied to `store.dispatch`'s return type.,negative
DefinitelyTyped/DefinitelyTyped,standard,2015-11-17T12:26:27Z,flux-standard-action,neutral
DefinitelyTyped/DefinitelyTyped,standard,2015-11-17T12:39:38Z,thanks mate!,positive
DefinitelyTyped/DefinitelyTyped,standard,2015-11-17T13:00:23Z,:smile:,positive
DefinitelyTyped/DefinitelyTyped,standard,2015-11-24T11:52:56Z,backbone typescript definitions contradict backbone's own documentation. typescript is supposed to be a superset of javascript.backbone's documentation says you define your class by doing:```var mymodel = backbone.model.extend({});```although this isn't the typescript way. i definitely think it should work. but with the current definition. it does not.the changes introduced by #2077 break this.converting an existing backbone project to typescript is made quite awkward because of this.i note #2517 tried to revert these changes previously.i'd argue enforcing standards on library usage shouldn't be done in the definition for that library.,neutral
tombatossals/angular-leaflet-directive,karma,2013-07-14T20:10:38Z,next time before you send a pr. please also run the karma test to make sure nothing breaks. also it will very helpful if you can create test case for the new features :),positive
nikgraf/belle,eslint,2015-07-05T23:02:37Z,eslint. i migrated already a couple components. still the rest & all of the other code should be brought to alignment with the eslint rules.,neutral
nikgraf/belle,eslint,2015-07-07T19:33:47Z,refactor: align test files with eslint rules,neutral
nikgraf/belle,eslint,2015-07-07T23:07:37Z,:top: work :smile:,positive
nikgraf/belle,eslint,2015-07-14T09:23:22Z,refactor: deprecating underscore for src. hey nik...check the helpers file...does it look goo enough to you.i still see some eslint errors. but i do not want to do any further changes. i am scared my changes will break something with existing code logic of these methods.,negative
